epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,87.01551914215088,1135525888,18458910720,201390104576,197306757120,4083347456,2.0,95246848,603979776,459867136,603979776,1.13772680685083,,
1,test,10.202858686447144,1211166720,18528931840,201390104576,197243707392,4146397184,2.1,92035584,603979776,459867136,603979776,,0.72078385887146,73.54
2,train,84.48149943351746,1225269248,18542981120,201390104576,197226881024,4163223552,2.1,95246848,603979776,459867136,603979776,0.6570134848229158,,
2,test,10.125372409820557,1225269248,18542981120,201390104576,197226881024,4163223552,2.1,92035584,603979776,459867136,603979776,,0.5608828021049499,79.64
3,train,84.5181074142456,1225269248,18542981120,201390104576,197218033664,4172070912,2.1,95246848,603979776,459867136,603979776,0.53478568609653,,
3,test,10.137021780014038,1225273344,18542981120,201390104576,197218291712,4171812864,2.1,92035584,603979776,459867136,603979776,,0.4920186462402344,81.76
4,train,84.63243627548218,1225281536,18542981120,201390104576,197222449152,4167655424,2.1,95246848,603979776,459867136,603979776,0.47938855421314364,,
4,test,10.127199172973633,1225281536,18542981120,201390104576,197222711296,4167393280,2.1,92035584,603979776,459867136,603979776,,0.4375527797698975,84.07
5,train,84.72786092758179,1225293824,18542981120,201390104576,197223350272,4166754304,2.1,95246848,603979776,459867136,603979776,0.4368815557407672,,
5,test,10.13506293296814,1225293824,18542981120,201390104576,197223362560,4166742016,2.1,92035584,603979776,459867136,603979776,,0.399263236618042,85.07
