epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,amp_enabled,test_loss,test_accuracy
1,train,89.09576344490051,1179906048,18159669248,201390104576,197237149696,4152954880,2.1,95370240,360710144,293220864,360710144,1.1004055624704625,1,,
1,test,10.076599597930908,1212002304,18186117120,201390104576,197213409280,4176695296,2.1,92159488,360710144,293220864,360710144,,1,0.6675105375289917,74.97
2,train,87.67174053192139,1235755008,18209837056,201390104576,197203730432,4186374144,2.1,95370240,360710144,293220864,360710144,0.6133672022489088,1,,
2,test,10.165311574935913,1222717440,18196754432,201390104576,197217062912,4173041664,2.1,92159488,360710144,293220864,360710144,,1,0.5364310913085938,79.73
3,train,83.88569617271423,1235234816,18209144832,201390104576,197197029376,4193075200,2.1,95370240,360710144,293220864,360710144,0.5176381902463401,1,,
3,test,10.175843000411987,1235243008,18209144832,201390104576,197196812288,4193292288,2.1,92159488,360710144,293220864,360710144,,1,0.4861458215713501,81.95
4,train,84.97917532920837,1245286400,18219188224,201390104576,197185777664,4204326912,2.1,95370240,360710144,293220864,360710144,0.4652423173316252,1,,
4,test,10.150309324264526,1245286400,18219188224,201390104576,197185777664,4204326912,2.1,92159488,360710144,293220864,360710144,,1,0.4342850601911545,83.51
5,train,84.73074293136597,1245298688,18219188224,201390104576,197184540672,4205563904,2.1,95370240,360710144,293220864,360710144,0.42676698854927825,1,,
5,test,10.14901852607727,1245298688,18219188224,201390104576,197184540672,4205563904,2.1,92159488,360710144,293220864,360710144,,1,0.3898393374919891,85.4
6,train,85.05337429046631,1245310976,18219347968,201390104576,197191327744,4198776832,2.1,95370240,360710144,293220864,360710144,0.3967816075885982,1,,
6,test,10.141366243362427,1245474816,18219347968,201390104576,197191585792,4198518784,2.1,92159488,360710144,293220864,360710144,,1,0.38526873741149903,85.86
7,train,84.38872122764587,1245487104,18219347968,201390104576,197178929152,4211175424,2.1,95370240,360710144,293220864,360710144,0.3701868647657859,1,,
7,test,10.326125860214233,1245487104,18219347968,201390104576,197178929152,4211175424,2.1,92159488,360710144,293220864,360710144,,1,0.3580893151283264,87.09
8,train,84.25517868995667,1245495296,18220396544,201390104576,197171105792,4218998784,2.1,95370240,360710144,293220864,360710144,0.34876318718356364,1,,
8,test,10.085938692092896,1245495296,18220396544,201390104576,197171105792,4218998784,2.1,92159488,360710144,293220864,360710144,,1,0.33624683606624606,87.88
9,train,83.12465310096741,1245503488,18220396544,201390104576,197172252672,4217851904,2.1,95370240,360710144,293220864,360710144,0.32874576800635885,1,,
9,test,10.05634355545044,1245503488,18220396544,201390104576,197172510720,4217593856,2.1,92159488,360710144,293220864,360710144,,1,0.3158963357448578,88.63
10,train,84.19654273986816,1234903040,18209878016,201390104576,197193752576,4196352000,2.1,95370240,360710144,293220864,360710144,0.30998941553808224,1,,
10,test,10.096556186676025,1234989056,18209878016,201390104576,197193760768,4196343808,2.1,92159488,360710144,293220864,360710144,,1,0.3097392823696136,88.73
