layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.6895229928195477,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,173531136,308281344,173549056,308281344
conv2,Conv2d,"(64, 96, 54, 54)",1.2398050166666508,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,245194752,381681664,245212672,381681664
conv3,Conv2d,"(64, 96, 54, 54)",1.2346350122243166,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,245194752,455081984,316858368,455081984
pool3,MaxPool2d,"(64, 96, 26, 26)",0.5966859171167016,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,190898176,455081984,316858368,455081984
drop3,Dropout,"(64, 96, 26, 26)",0.05947903264313936,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,119234560,455081984,316858368,455081984
conv4,Conv2d,"(64, 256, 5, 5)",2.2199249360710382,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,120872960,455081984,316858368,455081984
conv5a,Conv2d,"(64, 256, 5, 5)",0.19768800120800734,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,105144320,455081984,316858368,455081984
conv5b,Conv2d,"(64, 256, 5, 5)",0.18141500186175108,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,105766912,455081984,316858368,455081984
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08538796100765467,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,103768064,455081984,316858368,455081984
drop5,Dropout,"(64, 256, 2, 2)",0.053353956900537014,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,102129664,455081984,316858368,455081984
conv6,Conv2d,"(64, 384, 2, 2)",0.4360879538580775,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,102522880,455081984,316858368,455081984
conv7,Conv2d,"(64, 384, 2, 2)",0.1594380009919405,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,102653952,455081984,316858368,455081984
conv8,Conv2d,"(64, 384, 2, 2)",0.14770205598324537,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,102653952,455081984,316858368,455081984
conv9,Conv2d,"(64, 10, 2, 2)",0.18990994431078434,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,102270976,455081984,316858368,455081984
conv10,Conv2d,"(64, 10, 2, 2)",0.1435810700058937,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,101888000,455081984,316858368,455081984
conv11,Conv2d,"(64, 10, 2, 2)",0.13826496433466673,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,101888000,455081984,316858368,455081984
fc1,Linear,"(64, 100)",0.13205106370151043,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,101903360,455081984,316858368,455081984
fc2,Linear,"(64, 100)",0.10761700104922056,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,101918720,455081984,316858368,455081984
fc3,Linear,"(64, 100)",0.1166879665106535,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,101918720,455081984,316858368,455081984
fc4,Linear,"(64, 10)",0.10302499867975712,1339629568,20004282368,201390104576,197103144960,4286959616,2.1,101895680,455081984,316858368,455081984
