layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",3.4107069950550795,1367916544,19722727424,201390104576,197092425728,4297678848,2.1,173655040,241172480,173672960,241172480
conv2,Conv2d,"(64, 96, 54, 54)",3.6104469327256083,1367957504,19823390720,201390104576,197092425728,4297678848,2.1,245318656,314572800,245336576,314572800
conv3,Conv2d,"(64, 96, 54, 54)",1.2266470585018396,1367957504,19924054016,201390104576,197092425728,4297678848,2.1,245318656,387973120,316982272,387973120
pool3,MaxPool2d,"(64, 96, 26, 26)",0.6078829756006598,1368035328,19924054016,201390104576,197092425728,4297678848,2.1,190268416,387973120,316982272,387973120
drop3,Dropout,"(64, 96, 26, 26)",0.061883009038865566,1368035328,19924054016,201390104576,197092425728,4297678848,2.1,118604800,387973120,316982272,387973120
conv4,Conv2d,"(64, 256, 5, 5)",3.8801629561930895,1368035328,19924054016,201390104576,197092425728,4297678848,2.1,121095168,387973120,316982272,387973120
conv5a,Conv2d,"(64, 256, 5, 5)",2.4225799134001136,1368158208,19924054016,201390104576,197092425728,4297678848,2.1,106120192,387973120,316982272,387973120
conv5b,Conv2d,"(64, 256, 5, 5)",0.18128100782632828,1368158208,19924054016,201390104576,197092425728,4297678848,2.1,106120192,387973120,316982272,387973120
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08500809781253338,1368158208,19924054016,201390104576,197092425728,4297678848,2.1,103891968,387973120,316982272,387973120
drop5,Dropout,"(64, 256, 2, 2)",0.05239900201559067,1368158208,19924054016,201390104576,197092425728,4297678848,2.1,102253568,387973120,316982272,387973120
conv6,Conv2d,"(64, 384, 2, 2)",3.6612360272556543,1368252416,19924054016,201390104576,197092425728,4297678848,2.1,102646784,387973120,316982272,387973120
conv7,Conv2d,"(64, 384, 2, 2)",3.0395499197766185,1368252416,19924054016,201390104576,197092425728,4297678848,2.1,102777856,387973120,316982272,387973120
conv8,Conv2d,"(64, 384, 2, 2)",0.14726107474416494,1368252416,19924054016,201390104576,197092425728,4297678848,2.1,102777856,387973120,316982272,387973120
conv9,Conv2d,"(64, 10, 2, 2)",2.859409898519516,1368907776,19924054016,201390104576,197092425728,4297678848,2.1,102394880,387973120,316982272,387973120
conv10,Conv2d,"(64, 10, 2, 2)",5.921207019127905,1370267648,19924054016,201390104576,197092425728,4297678848,2.1,102011904,387973120,316982272,387973120
conv11,Conv2d,"(64, 10, 2, 2)",0.13997103087604046,1370267648,19924054016,201390104576,197092425728,4297678848,2.1,102011904,387973120,316982272,387973120
fc1,Linear,"(64, 100)",0.5151770310476422,1370320896,19924054016,201390104576,197092425728,4297678848,2.1,102027264,387973120,316982272,387973120
fc2,Linear,"(64, 100)",0.13198598753660917,1370320896,19924054016,201390104576,197092425728,4297678848,2.1,102042624,387973120,316982272,387973120
fc3,Linear,"(64, 100)",0.10552606545388699,1370320896,19924054016,201390104576,197092425728,4297678848,2.1,102042624,387973120,316982272,387973120
fc4,Linear,"(64, 10)",0.13036304153501987,1370320896,19924054016,201390104576,197092425728,4297678848,2.1,102019584,387973120,316982272,387973120
