epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,86.54897618293762,1135419392,18459291648,201390104576,197333749760,4056354816,2.0,95246848,603979776,459867136,603979776,1.1164826055579602,,
1,test,10.062676429748535,1184628736,18503020544,201390104576,197292965888,4097138688,2.0,92035584,603979776,459867136,603979776,,0.6916154980659485,74.01
2,train,90.71079277992249,1220333568,18538627072,201390104576,197254144000,4135960576,2.1,95246848,603979776,459867136,603979776,0.6240058972128927,,
2,test,10.316325187683105,1210572800,18528788480,201390104576,197263343616,4126760960,2.0,92035584,603979776,459867136,603979776,,0.547609895324707,79.81
3,train,85.43912196159363,1190785024,18509119488,201390104576,197286400000,4103704576,2.0,95246848,603979776,459867136,603979776,0.5226321131912376,,
3,test,10.026868104934692,1184722944,18502696960,201390104576,197288587264,4101517312,2.0,92035584,603979776,459867136,603979776,,0.47528502559661867,82.35
4,train,88.9839882850647,1184600064,18503745536,201390104576,197297471488,4092633088,2.0,95246848,603979776,459867136,603979776,0.4667750799071306,,
4,test,10.004114627838135,1197830144,18517192704,201390104576,197291229184,4098875392,2.0,92035584,603979776,459867136,603979776,,0.4253324859380722,84.06
5,train,84.93219566345215,1208303616,18527432704,201390104576,197278666752,4111437824,2.0,95246848,603979776,459867136,603979776,0.42849834357052724,,
5,test,10.956024646759033,1209663488,18529038336,201390104576,197278187520,4111917056,2.0,92035584,603979776,459867136,603979776,,0.3898585603952408,85.49
6,train,84.98905777931213,1208918016,18528034816,201390104576,197285453824,4104650752,2.0,95246848,603979776,459867136,603979776,0.3950540436896434,,
6,test,10.846258878707886,1209061376,18528034816,201390104576,197281099776,4109004800,2.0,92035584,603979776,459867136,603979776,,0.3812066794872284,86.03
7,train,85.00246596336365,1221910528,18540879872,201390104576,197276168192,4113936384,2.0,95246848,603979776,459867136,603979776,0.3695257578386681,,
7,test,10.279124021530151,1209397248,18528636928,201390104576,197288931328,4101173248,2.0,92035584,603979776,459867136,603979776,,0.35311573910713195,87.23
8,train,85.12351584434509,1191247872,18510168064,201390104576,197297201152,4092903424,2.0,95246848,603979776,459867136,603979776,0.3483325781693845,,
8,test,10.647669792175293,1197490176,18516590592,201390104576,197293502464,4096602112,2.0,92035584,603979776,459867136,603979776,,0.34385985343456266,87.35
9,train,84.65033292770386,1221726208,18540879872,201390104576,197274624000,4115480576,2.0,95246848,603979776,459867136,603979776,0.3280702449683187,,
9,test,9.934511184692383,1209061376,18528034816,201390104576,197287546880,4102557696,2.0,92035584,603979776,459867136,603979776,,0.31794686465263367,88.14
10,train,86.21055102348328,1221230592,18540277760,201390104576,197288284160,4101820416,2.0,95246848,603979776,459867136,603979776,0.3126951038742116,,
10,test,10.8348970413208,1208500224,18527432704,201390104576,197301055488,4089049088,2.0,92035584,603979776,459867136,603979776,,0.31156854543685913,88.63
