epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,99.65915846824646,1194176512,19888984064,201390104576,197292675072,4097429504,2.0,95776768,840957952,722552320,840957952,1.7407208598816573,,
1,test,11.684828042984009,1256280064,19947597824,201390104576,197243473920,4146630656,2.1,92893184,840957952,722552320,840957952,,0.6511324186325074,75.12
2,train,98.58260416984558,1256837120,19947999232,201390104576,197244018688,4146085888,2.1,95776768,840957952,722552320,840957952,0.5131170095633596,,
2,test,11.630152225494385,1256861696,19947999232,201390104576,197244018688,4146085888,2.1,92893184,840957952,722552320,840957952,,0.42807753977775576,85.06
3,train,97.50986742973328,1256824832,19947999232,201390104576,197234286592,4155817984,2.1,95776768,840957952,722552320,840957952,0.41221368984817697,,
3,test,11.533790111541748,1256865792,19947999232,201390104576,197233635328,4156469248,2.1,92893184,840957952,722552320,840957952,,0.3801993748188019,86.2
4,train,97.34914374351501,1256730624,19949047808,201390104576,197239971840,4150132736,2.1,95776768,840957952,722552320,840957952,0.3672086665116902,,
4,test,11.506948471069336,1256730624,19949047808,201390104576,197239971840,4150132736,2.1,92893184,840957952,722552320,840957952,,0.3470035955905914,87.79
5,train,99.3633017539978,1256914944,19949047808,201390104576,197233635328,4156469248,2.1,95776768,840957952,722552320,840957952,0.33484968330178944,,
5,test,11.52311372756958,1256923136,19949047808,201390104576,197233119232,4156985344,2.1,92893184,840957952,722552320,840957952,,0.3149888021469116,88.84
6,train,96.34173321723938,1262067712,19954270208,201390104576,197214744576,4175360000,2.1,95776768,840957952,722552320,840957952,0.3097912931064172,,
6,test,11.479481935501099,1262067712,19954270208,201390104576,197214744576,4175360000,2.1,92893184,840957952,722552320,840957952,,0.32766021099090575,87.98
7,train,98.08719277381897,1256980480,19949047808,201390104576,197210300416,4179804160,2.1,95776768,840957952,722552320,840957952,0.29213094052824895,,
7,test,12.980427742004395,1256980480,19949047808,201390104576,197209587712,4180516864,2.1,92893184,840957952,722552320,840957952,,0.2898374245166779,89.73
8,train,98.72646880149841,1270542336,19961892864,201390104576,197201547264,4188557312,2.1,95776768,840957952,722552320,840957952,0.28007869240539923,,
8,test,11.50158143043518,1270743040,19961892864,201390104576,197201289216,4188815360,2.1,92893184,840957952,722552320,840957952,,0.2833220467567444,90.08
9,train,96.62727427482605,1257713664,19949047808,201390104576,197204492288,4185612288,2.1,95776768,840957952,722552320,840957952,0.26324155299203483,,
9,test,11.488506078720093,1257713664,19949047808,201390104576,197204750336,4185354240,2.1,92893184,840957952,722552320,840957952,,0.2699783625602722,90.4
10,train,96.83175444602966,1257897984,19949047808,201390104576,197190418432,4199686144,2.1,95776768,840957952,722552320,840957952,0.2544477170845593,,
10,test,11.511430501937866,1257897984,19949047808,201390104576,197190664192,4199440384,2.1,92893184,840957952,722552320,840957952,,0.25651807255744935,90.75
