layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,ConvReLU2d,"(64, 96, 54, 54)",2.9623539885506034,1273044992,19962183680,201390104576,197166530560,4223574016,2.1,186705408,341835776,277243392,341835776
conv2,ConvReLU2d,"(64, 96, 54, 54)",2.532984013669193,1273044992,19962183680,201390104576,197166530560,4223574016,2.1,245523968,415236096,336061952,415236096
conv3,ConvReLU2d,"(64, 96, 54, 54)",2.4915870744735003,1273044992,19962183680,201390104576,197166530560,4223574016,2.1,245523968,415236096,336061952,415236096
pool3,MaxPool2d,"(64, 96, 26, 26)",0.6011879304423928,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,190473728,415236096,336061952,415236096
drop3,Dropout,"(64, 96, 26, 26)",0.060669961385428905,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,118810112,415236096,336061952,415236096
conv4,ConvReLU2d,"(64, 256, 5, 5)",2.815447049215436,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,121071104,415236096,336061952,415236096
conv5a,ConvReLU2d,"(64, 256, 5, 5)",0.6036870181560516,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,106358272,415236096,336061952,415236096
conv5b,ConvReLU2d,"(64, 256, 5, 5)",0.6082700565457344,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,105735680,415236096,336061952,415236096
pool5,MaxPool2d,"(64, 256, 2, 2)",0.09158102329820395,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,104097280,415236096,336061952,415236096
drop5,Dropout,"(64, 256, 2, 2)",0.05275697913020849,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102458880,415236096,336061952,415236096
conv6,ConvReLU2d,"(64, 384, 2, 2)",0.7705810712650418,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102852096,415236096,336061952,415236096
conv7,ConvReLU2d,"(64, 384, 2, 2)",0.5791429430246353,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102983168,415236096,336061952,415236096
conv8,ConvReLU2d,"(64, 384, 2, 2)",0.5809429567307234,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102983168,415236096,336061952,415236096
conv9,ConvReLU2d,"(64, 10, 2, 2)",0.6205660756677389,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102600192,415236096,336061952,415236096
conv10,ConvReLU2d,"(64, 10, 2, 2)",0.5676649743691087,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102217216,415236096,336061952,415236096
conv11,ConvReLU2d,"(64, 10, 2, 2)",0.5646729841828346,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102217216,415236096,336061952,415236096
fc1,LinearReLU,"(64, 100)",0.5469489842653275,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102232576,415236096,336061952,415236096
fc2,LinearReLU,"(64, 100)",0.5272170528769493,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102247936,415236096,336061952,415236096
fc3,LinearReLU,"(64, 100)",0.5206040805205703,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102247936,415236096,336061952,415236096
fc4,Linear,"(64, 10)",0.49412704538553953,1273110528,19962183680,201390104576,197166530560,4223574016,2.1,102224896,415236096,336061952,415236096
