case,cross_entropy_loss,accuracy_percent,state_dict_size_mb,onnx_size_mb,optimizer_state_size_mb,avg_epoch_time_seconds,amp_enabled,autocast_dtype,metrics_file,runtime_file,metrics_last_updated,runtime_last_updated,last_updated,size_reduction_percent,sparsity_percent,zero_weight_sparsity_percent,structured_sparsity_percent
baseline,0.306597,88.95,16.70648,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/baseline/outputs/baseline_metrics.txt,/users/kashkoul/model-compression-experiments/baseline/outputs/baseline_runtime_summary.txt,2026-03-31 01:47:15,2026-03-31 01:47:18,2026-03-31 01:47:18,,,,
mixed_precision,0.309739,88.73,16.706514,16.700749,33.392242431640625,,True,torch.float16,/users/kashkoul/model-compression-experiments/mixed_precision/outputs/mixed_precision_metrics.txt,/users/kashkoul/model-compression-experiments/mixed_precision/outputs/mixed_precision_runtime_summary.txt,2026-03-31 02:03:31,2026-03-31 02:03:34,2026-03-31 02:03:34,,,,
quantization_float,0.310175,88.96,16.706617,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_float_metrics.txt,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_runtime_summary.txt,2026-03-31 02:19:38,2026-03-31 02:20:17,2026-03-31 02:20:17,,,,
quantization_dynamic,0.310507,88.93,16.637754,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_dynamic_metrics.txt,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_runtime_summary.txt,2026-03-31 02:20:15,2026-03-31 02:20:17,2026-03-31 02:20:17,0.412189,,,
qat_preconvert,0.255665,90.8,16.825663,,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/qat/outputs/qat_preconvert_metrics.txt,/users/kashkoul/model-compression-experiments/qat/outputs/qat_runtime_summary.txt,2026-03-31 02:38:54,2026-03-31 02:39:12,2026-03-31 02:39:12,,,,
qat_converted,0.255665,90.79,4.249075,,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/qat/outputs/qat_converted_metrics.txt,/users/kashkoul/model-compression-experiments/qat/outputs/qat_runtime_summary.txt,2026-03-31 02:39:11,2026-03-31 02:39:12,2026-03-31 02:39:12,74.746463,,,
pruning_dense,0.311569,88.63,16.706446,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_dense_metrics.txt,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_runtime_summary.txt,2026-03-31 02:55:38,2026-03-31 02:55:53,2026-03-31 02:55:53,,,,
pruning_pruned,0.309282,88.93,16.70648,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_pruned_metrics.txt,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_runtime_summary.txt,2026-03-31 02:55:51,2026-03-31 02:55:53,2026-03-31 02:55:53,-0.000206,29.999995,,
structured_dense,0.314264,88.82,16.706549,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_dense_metrics.txt,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_pruning_runtime_summary.txt,2026-03-31 03:12:03,2026-03-31 03:15:26,2026-03-31 03:15:26,,,,
structured_pruned,0.286907,89.53,16.706583,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_pruned_metrics.txt,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_pruning_runtime_summary.txt,2026-03-31 03:15:24,2026-03-31 03:15:26,2026-03-31 03:15:26,-0.000206,,10.003923,9.89011
