layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.6953309532254934,1339297792,20003938304,201390104576,197183889408,4206215168,2.1,173531136,308281344,173549056,308281344
conv2,Conv2d,"(64, 96, 54, 54)",1.23770406935364,1339297792,20004986880,201390104576,197183889408,4206215168,2.1,245194752,381681664,245212672,381681664
conv3,Conv2d,"(64, 96, 54, 54)",1.2238710187375546,1339297792,20004986880,201390104576,197183889408,4206215168,2.1,245194752,455081984,316858368,455081984
pool3,MaxPool2d,"(64, 96, 26, 26)",0.5967490142211318,1339297792,20004986880,201390104576,197183889408,4206215168,2.1,190898176,455081984,316858368,455081984
drop3,Dropout,"(64, 96, 26, 26)",0.06056798156350851,1339297792,20004986880,201390104576,197183889408,4206215168,2.1,119234560,455081984,316858368,455081984
conv4,Conv2d,"(64, 256, 5, 5)",2.2130919387564063,1339297792,20004986880,201390104576,197183889408,4206215168,2.1,120872960,455081984,316858368,455081984
conv5a,Conv2d,"(64, 256, 5, 5)",0.19405700732022524,1339297792,20004986880,201390104576,197183889408,4206215168,2.1,105144320,455081984,316858368,455081984
conv5b,Conv2d,"(64, 256, 5, 5)",0.18014106899499893,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,105766912,455081984,316858368,455081984
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08720194455236197,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,103768064,455081984,316858368,455081984
drop5,Dropout,"(64, 256, 2, 2)",0.0523619819432497,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,102129664,455081984,316858368,455081984
conv6,Conv2d,"(64, 384, 2, 2)",0.43064903002232313,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,102522880,455081984,316858368,455081984
conv7,Conv2d,"(64, 384, 2, 2)",0.15663099475204945,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,102653952,455081984,316858368,455081984
conv8,Conv2d,"(64, 384, 2, 2)",0.14899997040629387,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,102653952,455081984,316858368,455081984
conv9,Conv2d,"(64, 10, 2, 2)",0.19108504056930542,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,102270976,455081984,316858368,455081984
conv10,Conv2d,"(64, 10, 2, 2)",0.1399919856339693,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,101888000,455081984,316858368,455081984
conv11,Conv2d,"(64, 10, 2, 2)",0.15049695502966642,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,101888000,455081984,316858368,455081984
fc1,Linear,"(64, 100)",0.13188202865421772,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,101903360,455081984,316858368,455081984
fc2,Linear,"(64, 100)",0.10888208635151386,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,101918720,455081984,316858368,455081984
fc3,Linear,"(64, 100)",0.10565610136836767,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,101918720,455081984,316858368,455081984
fc4,Linear,"(64, 10)",0.103939906693995,1339457536,20004986880,201390104576,197183889408,4206215168,2.1,101895680,455081984,316858368,455081984
