layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.6981899971142411,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,208553984,310378496,208571904,310378496
conv2,Conv2d,"(64, 96, 54, 54)",1.2409599730744958,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,280217600,383778816,280235520,383778816
conv3,Conv2d,"(64, 96, 54, 54)",1.2167170643806458,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,280217600,457179136,351881216,457179136
pool3,MaxPool2d,"(64, 96, 26, 26)",0.595256919041276,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,225167360,457179136,351881216,457179136
drop3,Dropout,"(64, 96, 26, 26)",0.06352993659675121,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,153503744,457179136,351881216,457179136
conv4,Conv2d,"(64, 256, 5, 5)",2.2215009666979313,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,155437056,457179136,351881216,457179136
conv5a,Conv2d,"(64, 256, 5, 5)",0.19404594786465168,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,140822528,457179136,351881216,457179136
conv5b,Conv2d,"(64, 256, 5, 5)",0.17865095287561417,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,140462080,457179136,351881216,457179136
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08430401794612408,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,139151360,457179136,351881216,457179136
drop5,Dropout,"(64, 256, 2, 2)",0.052288989536464214,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,137152512,457179136,351881216,457179136
conv6,Conv2d,"(64, 384, 2, 2)",0.4351759562268853,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,137545728,457179136,351881216,457179136
conv7,Conv2d,"(64, 384, 2, 2)",0.1680459827184677,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,137676800,457179136,351881216,457179136
conv8,Conv2d,"(64, 384, 2, 2)",0.14544092118740082,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,137676800,457179136,351881216,457179136
conv9,Conv2d,"(64, 10, 2, 2)",0.19075104501098394,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,137293824,457179136,351881216,457179136
conv10,Conv2d,"(64, 10, 2, 2)",0.14052807819098234,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,136910848,457179136,351881216,457179136
conv11,Conv2d,"(64, 10, 2, 2)",0.13973098248243332,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,136910848,457179136,351881216,457179136
fc1,Linear,"(64, 100)",0.28102099895477295,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,136926208,459276288,351881216,459276288
fc2,Linear,"(64, 100)",0.10617799125611782,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,136941568,459276288,351881216,459276288
fc3,Linear,"(64, 100)",0.10405899956822395,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,136941568,459276288,351881216,459276288
fc4,Linear,"(64, 10)",0.10196201037615538,1490845696,21348397056,201390104576,197031641088,4358463488,2.2,136918528,459276288,351881216,459276288
