epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,87.31969332695007,1120731136,18444537856,201390104576,197372522496,4017582080,2.0,95246848,603979776,459867136,603979776,1.1174293609697428,,
1,test,10.218937158584595,1209094144,18527604736,201390104576,197296152576,4093952000,2.0,92035584,603979776,459867136,603979776,,0.6877577896118164,74.07
2,train,85.13459944725037,1211277312,18529411072,201390104576,197294235648,4095868928,2.0,95246848,603979776,459867136,603979776,0.6275529369616559,,
2,test,10.36672043800354,1212280832,18530414592,201390104576,197293215744,4096888832,2.0,92035584,603979776,459867136,603979776,,0.5510731671333313,78.4
3,train,85.19869422912598,1211285504,18529411072,201390104576,197305368576,4084736000,2.0,95246848,603979776,459867136,603979776,0.5302339814174404,,
3,test,10.027430057525635,1185624064,18503720960,201390104576,197327020032,4063084544,2.0,92035584,603979776,459867136,603979776,,0.48784642534255984,81.45
4,train,84.19422149658203,1224114176,18542256128,201390104576,197280382976,4109721600,2.0,95246848,603979776,459867136,603979776,0.4781998545725717,,
4,test,10.091772317886353,1211842560,18530213888,201390104576,197292081152,4098023424,2.0,92035584,603979776,459867136,603979776,,0.43612871627807615,83.39
5,train,84.63954567909241,1211301888,18529411072,201390104576,197295783936,4094320640,2.0,95246848,603979776,459867136,603979776,0.4382352907139101,,
5,test,10.03720474243164,1211314176,18529411072,201390104576,197295783936,4094320640,2.0,92035584,603979776,459867136,603979776,,0.4036980574131012,84.99
6,train,84.73643255233765,1211310080,18529411072,201390104576,197298024448,4092080128,2.0,95246848,603979776,459867136,603979776,0.40600508348202147,,
6,test,10.117594718933105,1185697792,18503720960,201390104576,197319958528,4070146048,2.0,92035584,603979776,459867136,603979776,,0.38042533121109007,85.86
7,train,84.67111325263977,1211228160,18529411072,201390104576,197300006912,4090097664,2.0,95246848,603979776,459867136,603979776,0.38253703443353365,,
7,test,10.22693419456482,1185763328,18503720960,201390104576,197314027520,4076077056,2.0,92035584,603979776,459867136,603979776,,0.36435367703437804,86.97
8,train,84.76621460914612,1211326464,18529411072,201390104576,197290688512,4099416064,2.0,95246848,603979776,459867136,603979776,0.36142721258278593,,
8,test,10.082669258117676,1212129280,18530213888,201390104576,197289914368,4100190208,2.0,92035584,603979776,459867136,603979776,,0.35661542639732363,87.6
9,train,84.66222786903381,1211330560,18529411072,201390104576,197287374848,4102729728,2.0,95246848,603979776,459867136,603979776,0.3418533877570873,,
9,test,10.068825960159302,1185775616,18503720960,201390104576,197309759488,4080345088,2.0,92035584,603979776,459867136,603979776,,0.3360275113105774,87.69
10,train,84.28795742988586,1211109376,18529411072,201390104576,197287575552,4102529024,2.0,95246848,603979776,459867136,603979776,0.32513465921380624,,
10,test,10.044724464416504,1211691008,18530013184,201390104576,197286916096,4103188480,2.0,92035584,603979776,459867136,603979776,,0.3142638313293457,88.82
11,train,84.24659442901611,1448812544,21408403456,201390104576,197084332032,4305772544,2.1,143315456,608174080,508492800,608174080,0.3182414653125221,,
11,test,9.918457746505737,1448816640,21408403456,201390104576,197084332032,4305772544,2.1,140431872,608174080,508492800,608174080,,0.31032679402828217,89.17
12,train,84.45739912986755,1449889792,21408403456,201390104576,197082673152,4307431424,2.1,143315456,608174080,508492800,608174080,0.3035685319477307,,
12,test,9.915456295013428,1449889792,21408403456,201390104576,197081640960,4308463616,2.1,140431872,608174080,508492800,608174080,,0.2869066324710846,89.53
