layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.6910230042412877,1350811648,20015538176,201390104576,197134766080,4255338496,2.1,173531136,308281344,173549056,308281344
conv2,Conv2d,"(64, 96, 54, 54)",1.2360960245132446,1350877184,20015538176,201390104576,197134766080,4255338496,2.1,245194752,381681664,245212672,381681664
conv3,Conv2d,"(64, 96, 54, 54)",1.2292200699448586,1350877184,20016586752,201390104576,197134766080,4255338496,2.1,245194752,455081984,316858368,455081984
pool3,MaxPool2d,"(64, 96, 26, 26)",0.5967749748378992,1350877184,20016586752,201390104576,197134766080,4255338496,2.1,190898176,455081984,316858368,455081984
drop3,Dropout,"(64, 96, 26, 26)",0.06254995241761208,1350877184,20016586752,201390104576,197134766080,4255338496,2.1,119234560,455081984,316858368,455081984
conv4,Conv2d,"(64, 256, 5, 5)",2.2185971029102802,1350877184,20016586752,201390104576,197134766080,4255338496,2.1,120872960,455081984,316858368,455081984
conv5a,Conv2d,"(64, 256, 5, 5)",0.19525503739714622,1350877184,20016586752,201390104576,197134766080,4255338496,2.1,105144320,455081984,316858368,455081984
conv5b,Conv2d,"(64, 256, 5, 5)",0.18021604046225548,1350877184,20016586752,201390104576,197134766080,4255338496,2.1,105766912,455081984,316858368,455081984
pool5,MaxPool2d,"(64, 256, 2, 2)",0.082949991337955,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,103768064,455081984,316858368,455081984
drop5,Dropout,"(64, 256, 2, 2)",0.05144893657416105,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,102129664,455081984,316858368,455081984
conv6,Conv2d,"(64, 384, 2, 2)",0.43156894389539957,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,102522880,455081984,316858368,455081984
conv7,Conv2d,"(64, 384, 2, 2)",0.15739095397293568,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,102653952,455081984,316858368,455081984
conv8,Conv2d,"(64, 384, 2, 2)",0.14813605230301619,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,102653952,455081984,316858368,455081984
conv9,Conv2d,"(64, 10, 2, 2)",0.18922006711363792,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,102270976,455081984,316858368,455081984
conv10,Conv2d,"(64, 10, 2, 2)",0.1402880297973752,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,101888000,455081984,316858368,455081984
conv11,Conv2d,"(64, 10, 2, 2)",0.13578194193542004,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,101888000,455081984,316858368,455081984
fc1,Linear,"(64, 100)",0.12999307364225388,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,101903360,455081984,316858368,455081984
fc2,Linear,"(64, 100)",0.10335806291550398,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,101918720,455081984,316858368,455081984
fc3,Linear,"(64, 100)",0.10409299284219742,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,101918720,455081984,316858368,455081984
fc4,Linear,"(64, 10)",0.10145094711333513,1351094272,20016586752,201390104576,197134766080,4255338496,2.1,101895680,455081984,316858368,455081984
