layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",3.987943986430764,1443483648,21303881728,201390104576,197085814784,4304289792,2.1,172843008,297795584,172860928,297795584
conv2,Conv2d,"(64, 96, 54, 54)",1.2436100514605641,1443483648,21303881728,201390104576,197085814784,4304289792,2.1,244506624,371195904,244524544,371195904
conv3,Conv2d,"(64, 96, 54, 54)",1.2204359518364072,1443483648,21303881728,201390104576,197086072832,4304031744,2.1,244506624,444596224,316170240,444596224
pool3,MaxPool2d,"(64, 96, 26, 26)",0.6032689707353711,1443659776,21303881728,201390104576,197086072832,4304031744,2.1,189456384,444596224,316170240,444596224
drop3,Dropout,"(64, 96, 26, 26)",0.062279985286295414,1443659776,21303881728,201390104576,197086072832,4304031744,2.1,117792768,444596224,316170240,444596224
conv4,Conv2d,"(64, 256, 5, 5)",2.2232939954847097,1443659776,21303881728,201390104576,197086072832,4304031744,2.1,119726080,444596224,316170240,444596224
conv5a,Conv2d,"(64, 256, 5, 5)",0.19693200010806322,1443659776,21303881728,201390104576,197086072832,4304031744,2.1,104718336,444596224,316170240,444596224
conv5b,Conv2d,"(64, 256, 5, 5)",0.1821710029616952,1443659776,21303881728,201390104576,197086072832,4304031744,2.1,104751104,444596224,316170240,444596224
pool5,MaxPool2d,"(64, 256, 2, 2)",0.0845539616420865,1443659776,21303881728,201390104576,197086072832,4304031744,2.1,103342080,444596224,316170240,444596224
drop5,Dropout,"(64, 256, 2, 2)",0.05296396557241678,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101441536,444596224,316170240,444596224
conv6,Conv2d,"(64, 384, 2, 2)",0.43859402649104595,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101834752,444596224,316170240,444596224
conv7,Conv2d,"(64, 384, 2, 2)",0.1612290507182479,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101965824,444596224,316170240,444596224
conv8,Conv2d,"(64, 384, 2, 2)",0.15855103265494108,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101965824,444596224,316170240,444596224
conv9,Conv2d,"(64, 10, 2, 2)",0.19428005907684565,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101582848,444596224,316170240,444596224
conv10,Conv2d,"(64, 10, 2, 2)",0.14304497744888067,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101199872,444596224,316170240,444596224
conv11,Conv2d,"(64, 10, 2, 2)",0.1409640535712242,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101199872,444596224,316170240,444596224
fc1,Linear,"(64, 100)",0.1460040220990777,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101215232,444596224,316170240,444596224
fc2,Linear,"(64, 100)",0.10508496779948473,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101230592,444596224,316170240,444596224
fc3,Linear,"(64, 100)",0.10294793173670769,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101230592,444596224,316170240,444596224
fc4,Linear,"(64, 10)",0.10513793677091599,1443659776,21304930304,201390104576,197086072832,4304031744,2.1,101207552,444596224,316170240,444596224
