layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,ConvReLU2d,"(64, 96, 54, 54)",3.053613007068634,1283158016,19972177920,201390104576,197200273408,4189831168,2.1,186705408,341835776,277243392,341835776
conv2,ConvReLU2d,"(64, 96, 54, 54)",2.5630570016801357,1283158016,19972177920,201390104576,197200273408,4189831168,2.1,245523968,415236096,336061952,415236096
conv3,ConvReLU2d,"(64, 96, 54, 54)",2.533231978304684,1283158016,19972177920,201390104576,197200273408,4189831168,2.1,245523968,415236096,336061952,415236096
pool3,MaxPool2d,"(64, 96, 26, 26)",0.6074130069464445,1283158016,19973226496,201390104576,197200273408,4189831168,2.1,190473728,415236096,336061952,415236096
drop3,Dropout,"(64, 96, 26, 26)",0.08060794789344072,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,118810112,415236096,336061952,415236096
conv4,ConvReLU2d,"(64, 256, 5, 5)",2.9528660234063864,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,121071104,415236096,336061952,415236096
conv5a,ConvReLU2d,"(64, 256, 5, 5)",0.6956909783184528,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,106358272,415236096,336061952,415236096
conv5b,ConvReLU2d,"(64, 256, 5, 5)",0.6642710650339723,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,105735680,415236096,336061952,415236096
pool5,MaxPool2d,"(64, 256, 2, 2)",0.10904402006417513,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,104097280,415236096,336061952,415236096
drop5,Dropout,"(64, 256, 2, 2)",0.0568189425393939,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102458880,415236096,336061952,415236096
conv6,ConvReLU2d,"(64, 384, 2, 2)",0.799507019110024,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102852096,415236096,336061952,415236096
conv7,ConvReLU2d,"(64, 384, 2, 2)",0.6552649429067969,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102983168,415236096,336061952,415236096
conv8,ConvReLU2d,"(64, 384, 2, 2)",0.6431289948523045,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102983168,415236096,336061952,415236096
conv9,ConvReLU2d,"(64, 10, 2, 2)",0.6797140231356025,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102600192,415236096,336061952,415236096
conv10,ConvReLU2d,"(64, 10, 2, 2)",0.6331530166789889,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102217216,415236096,336061952,415236096
conv11,ConvReLU2d,"(64, 10, 2, 2)",0.6283690454438329,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102217216,415236096,336061952,415236096
fc1,LinearReLU,"(64, 100)",0.6251420127227902,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102232576,415236096,336061952,415236096
fc2,LinearReLU,"(64, 100)",0.5859499797224998,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102247936,415236096,336061952,415236096
fc3,LinearReLU,"(64, 100)",0.5986329633742571,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102247936,415236096,336061952,415236096
fc4,Linear,"(64, 10)",0.5519859259948134,1283252224,19973226496,201390104576,197200273408,4189831168,2.1,102224896,415236096,336061952,415236096
