layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",27.25962398108095,1461665792,21337841664,201390104576,197095923712,4294180864,2.1,101867520,234881024,101867520,234881024
conv2,Conv2d,"(64, 96, 54, 54)",39.33713200967759,1534287872,21409509376,201390104576,197021782016,4368322560,2.2,101867520,234881024,101867520,234881024
conv3,Conv2d,"(64, 96, 54, 54)",37.67323901411146,1534164992,21409509376,201390104576,197029416960,4360687616,2.2,101867520,234881024,101867520,234881024
pool3,MaxPool2d,"(64, 96, 26, 26)",12.79841992072761,1462059008,21337841664,201390104576,197099597824,4290506752,2.1,101867520,234881024,101867520,234881024
drop3,Dropout,"(64, 96, 26, 26)",0.10949105489999056,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv4,Conv2d,"(64, 256, 5, 5)",24.187993025407195,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv5a,Conv2d,"(64, 256, 5, 5)",1.1480610119178891,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv5b,Conv2d,"(64, 256, 5, 5)",1.0538329370319843,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
pool5,MaxPool2d,"(64, 256, 2, 2)",0.38529199082404375,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
drop5,Dropout,"(64, 256, 2, 2)",0.0569300027564168,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv6,Conv2d,"(64, 384, 2, 2)",1.4354260638356209,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv7,Conv2d,"(64, 384, 2, 2)",0.6615190068259835,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv8,Conv2d,"(64, 384, 2, 2)",0.6631400901824236,1390411776,21266173952,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv9,Conv2d,"(64, 10, 2, 2)",0.4834919236600399,1390608384,21267222528,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv10,Conv2d,"(64, 10, 2, 2)",0.30555203557014465,1390608384,21267222528,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
conv11,Conv2d,"(64, 10, 2, 2)",0.32483204267919064,1390608384,21267222528,201390104576,197169786880,4220317696,2.1,101867520,234881024,101867520,234881024
