epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,85.96699261665344,1136017408,18460073984,201390104576,197299322880,4090781696,2.0,95246848,603979776,459867136,603979776,1.1016805700655938,,
1,test,10.12734317779541,1209667584,18528088064,201390104576,197228830720,4161273856,2.1,92035584,603979776,459867136,603979776,,0.6742476661682129,74.71
2,train,84.85864424705505,1229238272,18547441664,201390104576,197208903680,4181200896,2.1,95246848,603979776,459867136,603979776,0.6144228530590976,,
2,test,9.944658994674683,1229238272,18547441664,201390104576,197209419776,4180684800,2.1,92035584,603979776,459867136,603979776,,0.5427447400093078,80.1
3,train,83.819659948349,1229242368,18547441664,201390104576,197193330688,4196773888,2.1,95246848,603979776,459867136,603979776,0.5211583316675635,,
3,test,10.774997472763062,1229242368,18547441664,201390104576,197190520832,4199583744,2.1,92035584,603979776,459867136,603979776,,0.4979687918663025,81.87
4,train,84.90893054008484,1229242368,18547441664,201390104576,197189603328,4200501248,2.1,95246848,603979776,459867136,603979776,0.4671866291844006,,
4,test,9.967149496078491,1229242368,18547441664,201390104576,197189603328,4200501248,2.1,92035584,603979776,459867136,603979776,,0.4268278284549713,84.25
5,train,83.7932562828064,1229250560,18547441664,201390104576,197203529728,4186574848,2.1,95246848,603979776,459867136,603979776,0.42652071871038183,,
5,test,10.043758869171143,1229254656,18547441664,201390104576,197204090880,4186013696,2.1,92035584,603979776,459867136,603979776,,0.39034068398475646,85.68
6,train,84.13869976997375,1229328384,18547441664,201390104576,197194031104,4196073472,2.1,95246848,603979776,459867136,603979776,0.39651823258285585,,
6,test,9.98001766204834,1229328384,18547441664,201390104576,197194031104,4196073472,2.1,92035584,603979776,459867136,603979776,,0.3665419421672821,86.57
7,train,83.80355477333069,1229328384,18547441664,201390104576,197195321344,4194783232,2.1,95246848,603979776,459867136,603979776,0.36664943735419053,,
7,test,9.93547773361206,1229328384,18547441664,201390104576,197195841536,4194263040,2.1,92035584,603979776,459867136,603979776,,0.3498998459815979,87.79
8,train,83.65949153900146,1229332480,18547441664,201390104576,197195599872,4194504704,2.1,95246848,603979776,459867136,603979776,0.3426942748905245,,
8,test,10.504999160766602,1229332480,18547441664,201390104576,197195603968,4194500608,2.1,92035584,603979776,459867136,603979776,,0.3453442647457123,88.02
9,train,83.79746961593628,1229340672,18547441664,201390104576,197189685248,4200419328,2.1,95246848,603979776,459867136,603979776,0.32388399745514396,,
9,test,9.978589296340942,1229340672,18547441664,201390104576,197189685248,4200419328,2.1,92035584,603979776,459867136,603979776,,0.3057980891704559,89.11
10,train,83.83120346069336,1229344768,18547441664,201390104576,197190025216,4200079360,2.1,95246848,603979776,459867136,603979776,0.3093389149175397,,
10,test,9.975749254226685,1229344768,18547441664,201390104576,197190025216,4200079360,2.1,92035584,603979776,459867136,603979776,,0.3101749012470245,88.96
