layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.7193530220538378,1347788800,20012011520,201390104576,197092450304,4297654272,2.1,173531136,308281344,173549056,308281344
conv2,Conv2d,"(64, 96, 54, 54)",1.2350480537861586,1347788800,20012011520,201390104576,197092450304,4297654272,2.1,245194752,381681664,245212672,381681664
conv3,Conv2d,"(64, 96, 54, 54)",1.2272120220586658,1347854336,20012011520,201390104576,197092450304,4297654272,2.1,245194752,455081984,316858368,455081984
pool3,MaxPool2d,"(64, 96, 26, 26)",0.6025199545547366,1347854336,20012011520,201390104576,197092450304,4297654272,2.1,190898176,455081984,316858368,455081984
drop3,Dropout,"(64, 96, 26, 26)",0.06184494122862816,1347854336,20012011520,201390104576,197092450304,4297654272,2.1,119234560,455081984,316858368,455081984
conv4,Conv2d,"(64, 256, 5, 5)",2.220112015493214,1347854336,20012011520,201390104576,197092450304,4297654272,2.1,120872960,455081984,316858368,455081984
conv5a,Conv2d,"(64, 256, 5, 5)",0.19903597421944141,1347854336,20012011520,201390104576,197092450304,4297654272,2.1,105144320,455081984,316858368,455081984
conv5b,Conv2d,"(64, 256, 5, 5)",0.1813321141526103,1347854336,20013060096,201390104576,197092450304,4297654272,2.1,105766912,455081984,316858368,455081984
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08544593583792448,1347854336,20013060096,201390104576,197092450304,4297654272,2.1,103768064,455081984,316858368,455081984
drop5,Dropout,"(64, 256, 2, 2)",0.05189806688576937,1347854336,20013060096,201390104576,197092450304,4297654272,2.1,102129664,455081984,316858368,455081984
conv6,Conv2d,"(64, 384, 2, 2)",0.4343451000750065,1347854336,20013060096,201390104576,197092450304,4297654272,2.1,102522880,455081984,316858368,455081984
conv7,Conv2d,"(64, 384, 2, 2)",0.1602480188012123,1347854336,20013060096,201390104576,197092450304,4297654272,2.1,102653952,455081984,316858368,455081984
conv8,Conv2d,"(64, 384, 2, 2)",0.14650693628937006,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,102653952,455081984,316858368,455081984
conv9,Conv2d,"(64, 10, 2, 2)",0.19402103498578072,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,102270976,455081984,316858368,455081984
conv10,Conv2d,"(64, 10, 2, 2)",0.14169805217534304,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,101888000,455081984,316858368,455081984
conv11,Conv2d,"(64, 10, 2, 2)",0.13601803220808506,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,101888000,455081984,316858368,455081984
fc1,Linear,"(64, 100)",0.14100398402661085,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,101903360,455081984,316858368,455081984
fc2,Linear,"(64, 100)",0.10321591980755329,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,101918720,455081984,316858368,455081984
fc3,Linear,"(64, 100)",0.10482000652700663,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,101918720,455081984,316858368,455081984
fc4,Linear,"(64, 10)",0.10076095350086689,1347940352,20013060096,201390104576,197092450304,4297654272,2.1,101895680,455081984,316858368,455081984
