case,cross_entropy_loss,accuracy_percent,state_dict_size_mb,onnx_size_mb,optimizer_state_size_mb,avg_epoch_time_seconds,amp_enabled,autocast_dtype,metrics_file,runtime_file,metrics_last_updated,runtime_last_updated,last_updated,size_reduction_percent,sparsity_percent,zero_weight_sparsity_percent,structured_sparsity_percent
baseline,0.399263,85.07,16.70648,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/baseline/outputs/baseline_metrics.txt,/users/kashkoul/model-compression-experiments/baseline/outputs/baseline_runtime_summary.txt,2026-03-29 20:07:45,2026-03-29 20:07:48,2026-03-29 20:07:48,,,,
mixed_precision,0.393198,85.45,16.706514,16.700749,33.392242431640625,,True,torch.float16,/users/kashkoul/model-compression-experiments/mixed_precision/outputs/mixed_precision_metrics.txt,/users/kashkoul/model-compression-experiments/mixed_precision/outputs/mixed_precision_runtime_summary.txt,2026-03-29 21:10:38,2026-03-29 21:10:41,2026-03-29 21:10:41,,,,
quantization_float,0.536393,80.13,16.706617,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_float_metrics.txt,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_runtime_summary.txt,2026-03-31 00:34:51,2026-03-31 00:35:31,2026-03-31 00:35:31,,,,
quantization_dynamic,0.536724,79.97,16.637754,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_dynamic_metrics.txt,/users/kashkoul/model-compression-experiments/quantization/outputs/quantization_runtime_summary.txt,2026-03-31 00:35:29,2026-03-31 00:35:31,2026-03-31 00:35:31,0.412189,,,
qat_preconvert,0.437665,84.44,16.825663,,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/qat/outputs/qat_preconvert_metrics.txt,/users/kashkoul/model-compression-experiments/qat/outputs/qat_runtime_summary.txt,2026-03-31 00:39:37,2026-03-31 00:39:56,2026-03-31 00:39:56,,,,
qat_converted,0.437515,84.35,4.249075,,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/qat/outputs/qat_converted_metrics.txt,/users/kashkoul/model-compression-experiments/qat/outputs/qat_runtime_summary.txt,2026-03-31 00:39:55,2026-03-31 00:39:56,2026-03-31 00:39:56,74.746463,,,
pruning_dense,0.551287,79.87,16.706446,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_dense_metrics.txt,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_runtime_summary.txt,2026-03-30 23:59:58,2026-03-31 00:00:11,2026-03-31 00:00:11,,,,
pruning_pruned,0.554264,79.64,16.70648,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_pruned_metrics.txt,/users/kashkoul/model-compression-experiments/pruning/outputs/pruning_runtime_summary.txt,2026-03-31 00:00:10,2026-03-31 00:00:11,2026-03-31 00:00:11,-0.000206,29.999995,,
structured_dense,0.531298,80.64,16.706549,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_dense_metrics.txt,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_pruning_runtime_summary.txt,2026-03-31 00:43:32,2026-03-31 00:45:20,2026-03-31 00:45:20,,,,
structured_pruned,0.469805,82.3,16.706583,16.700749,33.392242431640625,,,,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_pruned_metrics.txt,/users/kashkoul/model-compression-experiments/structured_pruning/outputs/structured_pruning_runtime_summary.txt,2026-03-31 00:45:19,2026-03-31 00:45:20,2026-03-31 00:45:20,-0.000206,,10.003923,9.89011
