case,cross_entropy_loss,accuracy_percent,avg_epoch_time_seconds_from_metrics,optimizer_state_size_mb,state_dict_size_mb_runtime,onnx_size_mb_runtime,amp_enabled,autocast_dtype,avg_train_epoch_seconds,avg_test_epoch_seconds,avg_epoch_time_seconds,max_gpu_allocated_mb,max_gpu_reserved_mb,avg_process_rss_mb,avg_system_ram_percent,metrics_last_updated,runtime_last_updated,epoch_last_updated,last_updated,state_dict_size_mb,size_reduction_percent,sparsity_percent,zero_weight_sparsity_percent,structured_sparsity_percent
baseline,0.399263,85.07,,33.392242431640625,16.70648,16.700749,,,85.07508463859558,10.145502996444701,47.610293817520144,438.5634765625,576.0,1158.61171875,2.09,2026-03-29 20:07:45,2026-03-29 20:07:48,2026-03-29 20:07:48,2026-03-29 20:07:48,,,,,
mixed_precision,0.393198,85.45,84.829628,33.392242431640625,16.706514,16.700749,True,torch.float16,84.82962818145752,10.487050294876099,47.65833923816681,279.63720703125,344.0,1179.2140625,2.09,2026-03-29 21:10:38,2026-03-29 21:10:41,2026-03-29 21:10:41,2026-03-29 21:10:41,,,,,
quantization_float,0.536393,80.13,,33.392242431640625,,16.700749,,,85.87828528881073,10.068453669548035,47.97336947917938,438.5634765625,576.0,1129.86328125,2.05,2026-03-31 00:34:51,2026-03-31 00:35:31,2026-03-31 00:35:31,2026-03-31 00:35:31,16.706617,,,,
quantization_dynamic,0.536724,79.97,,33.392242431640625,,16.700749,,,85.87828528881073,10.068453669548035,47.97336947917938,438.5634765625,576.0,1129.86328125,2.05,2026-03-31 00:35:29,2026-03-31 00:35:31,2026-03-31 00:35:31,2026-03-31 00:35:31,16.637754,0.412189,,,
qat_preconvert,0.437665,84.44,100.615329,33.392242431640625,,,,,100.61532938480377,12.092478513717651,56.35390394926071,689.07958984375,802.0,1189.7158203125,2.075,2026-03-31 00:39:37,2026-03-31 00:39:56,2026-03-31 00:39:56,2026-03-31 00:39:56,16.825663,,,,
qat_converted,0.437515,84.35,100.615329,33.392242431640625,,,,,100.61532938480377,12.092478513717651,56.35390394926071,689.07958984375,802.0,1189.7158203125,2.075,2026-03-31 00:39:55,2026-03-31 00:39:56,2026-03-31 00:39:56,2026-03-31 00:39:56,4.249075,74.746463,,,
pruning_dense,0.551287,79.87,,33.392242431640625,,16.700749,,,86.8592916727066,10.144392967224121,48.50184231996536,438.5634765625,576.0,1127.79296875,2.05,2026-03-30 23:59:58,2026-03-31 00:00:11,2026-03-31 00:00:11,2026-03-31 00:00:11,16.706446,,,,
pruning_pruned,0.554264,79.64,,33.392242431640625,,16.700749,,,86.8592916727066,10.144392967224121,48.50184231996536,438.5634765625,576.0,1127.79296875,2.05,2026-03-31 00:00:10,2026-03-31 00:00:11,2026-03-31 00:00:11,2026-03-31 00:00:11,16.70648,-0.000206,29.999995,,
structured_dense,0.531298,80.64,,33.392242431640625,,16.700749,,,86.71639760335286,10.292144219080607,48.504270911216736,484.9365234375,580.0,1222.8919270833333,2.033333333333333,2026-03-31 00:43:32,2026-03-31 00:45:20,2026-03-31 00:45:20,2026-03-31 00:45:20,16.706549,,,,
structured_pruned,0.469805,82.3,,33.392242431640625,,16.700749,,,86.71639760335286,10.292144219080607,48.504270911216736,484.9365234375,580.0,1222.8919270833333,2.033333333333333,2026-03-31 00:45:19,2026-03-31 00:45:20,2026-03-31 00:45:20,2026-03-31 00:45:20,16.706583,-0.000206,,10.003923,9.89011
