layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.715252990834415,1338978304,20003561472,201390104576,197171777536,4218327040,2.1,173531136,308281344,173549056,308281344
conv2,Conv2d,"(64, 96, 54, 54)",1.2353520141914487,1338978304,20004610048,201390104576,197171777536,4218327040,2.1,245194752,381681664,245212672,381681664
conv3,Conv2d,"(64, 96, 54, 54)",1.235014060512185,1338994688,20004610048,201390104576,197171777536,4218327040,2.1,245194752,455081984,316858368,455081984
pool3,MaxPool2d,"(64, 96, 26, 26)",0.6233780877664685,1338994688,20004610048,201390104576,197171777536,4218327040,2.1,190898176,455081984,316858368,455081984
drop3,Dropout,"(64, 96, 26, 26)",0.07004407234489918,1338994688,20004610048,201390104576,197171777536,4218327040,2.1,119234560,455081984,316858368,455081984
conv4,Conv2d,"(64, 256, 5, 5)",2.233098028227687,1338994688,20004610048,201390104576,197171777536,4218327040,2.1,120872960,455081984,316858368,455081984
conv5a,Conv2d,"(64, 256, 5, 5)",0.19412196706980467,1338994688,20004610048,201390104576,197171777536,4218327040,2.1,105144320,455081984,316858368,455081984
conv5b,Conv2d,"(64, 256, 5, 5)",0.1814790302887559,1339125760,20004610048,201390104576,197171777536,4218327040,2.1,105766912,455081984,316858368,455081984
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08631404489278793,1339125760,20004610048,201390104576,197171777536,4218327040,2.1,103768064,455081984,316858368,455081984
drop5,Dropout,"(64, 256, 2, 2)",0.05219108425080776,1339125760,20004610048,201390104576,197171777536,4218327040,2.1,102129664,455081984,316858368,455081984
conv6,Conv2d,"(64, 384, 2, 2)",0.4325950285419822,1339125760,20004610048,201390104576,197171777536,4218327040,2.1,102522880,455081984,316858368,455081984
conv7,Conv2d,"(64, 384, 2, 2)",0.15652598813176155,1339125760,20004610048,201390104576,197171777536,4218327040,2.1,102653952,455081984,316858368,455081984
conv8,Conv2d,"(64, 384, 2, 2)",0.16994390171021223,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,102653952,455081984,316858368,455081984
conv9,Conv2d,"(64, 10, 2, 2)",0.1983409747481346,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,102270976,455081984,316858368,455081984
conv10,Conv2d,"(64, 10, 2, 2)",0.14033797197043896,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,101888000,455081984,316858368,455081984
conv11,Conv2d,"(64, 10, 2, 2)",0.13593200128525496,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,101888000,455081984,316858368,455081984
fc1,Linear,"(64, 100)",0.13199704699218273,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,101903360,455081984,316858368,455081984
fc2,Linear,"(64, 100)",0.10690302588045597,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,101918720,455081984,316858368,455081984
fc3,Linear,"(64, 100)",0.10430498514324427,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,101918720,455081984,316858368,455081984
fc4,Linear,"(64, 10)",0.10271300561726093,1339314176,20004610048,201390104576,197171777536,4218327040,2.1,101895680,455081984,316858368,455081984
