layer_name,layer_type,output_shape,elapsed_ms,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes
conv1,Conv2d,"(64, 96, 54, 54)",1.680689980275929,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,208553984,310378496,208571904,310378496
conv2,Conv2d,"(64, 96, 54, 54)",1.2394869700074196,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,280217600,383778816,280235520,383778816
conv3,Conv2d,"(64, 96, 54, 54)",1.2185729574412107,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,280217600,457179136,351881216,457179136
pool3,MaxPool2d,"(64, 96, 26, 26)",0.5998100386932492,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,225167360,457179136,351881216,457179136
drop3,Dropout,"(64, 96, 26, 26)",0.0740810064598918,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,153503744,457179136,351881216,457179136
conv4,Conv2d,"(64, 256, 5, 5)",2.223534043878317,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,155437056,457179136,351881216,457179136
conv5a,Conv2d,"(64, 256, 5, 5)",0.19499007612466812,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,140822528,457179136,351881216,457179136
conv5b,Conv2d,"(64, 256, 5, 5)",0.17991301137953997,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,140462080,457179136,351881216,457179136
pool5,MaxPool2d,"(64, 256, 2, 2)",0.08389400318264961,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,139151360,457179136,351881216,457179136
drop5,Dropout,"(64, 256, 2, 2)",0.053983996622264385,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,137152512,457179136,351881216,457179136
conv6,Conv2d,"(64, 384, 2, 2)",0.436867936514318,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,137545728,457179136,351881216,457179136
conv7,Conv2d,"(64, 384, 2, 2)",0.15883403830230236,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,137676800,457179136,351881216,457179136
conv8,Conv2d,"(64, 384, 2, 2)",0.14580495189875364,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,137676800,457179136,351881216,457179136
conv9,Conv2d,"(64, 10, 2, 2)",0.19194092601537704,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,137293824,457179136,351881216,457179136
conv10,Conv2d,"(64, 10, 2, 2)",0.1441589556634426,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,136910848,457179136,351881216,457179136
conv11,Conv2d,"(64, 10, 2, 2)",0.13699301052838564,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,136910848,457179136,351881216,457179136
fc1,Linear,"(64, 100)",0.27661700733006,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,136926208,459276288,351881216,459276288
fc2,Linear,"(64, 100)",0.10756507981568575,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,136941568,459276288,351881216,459276288
fc3,Linear,"(64, 100)",0.10449800174683332,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,136941568,459276288,351881216,459276288
fc4,Linear,"(64, 10)",0.1040539937093854,1491533824,21348249600,201390104576,197010964480,4379140096,2.2,136918528,459276288,351881216,459276288
